"","source","listed_count","verified","user_created_at","statuses_count","followers_count","friends_count"
"224","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",64,FALSE,"Sun Apr 29 20:20:50 +0000 2012",36394,907,3053
"225","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,"Sat Apr 15 18:51:29 +0000 2017",17628,121,224
"226","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",12,FALSE,"Mon Apr 13 11:46:29 +0000 2009",11936,169,551
"227","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1051,FALSE,"Tue Dec 02 06:28:59 +0000 2008",371274,29723,32644
"228","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7,FALSE,"Mon Nov 15 12:50:31 +0000 2010",1499,305,793
"229","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",9,FALSE,"Mon Jan 09 22:38:36 +0000 2017",72808,2099,1965
"230","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",356,FALSE,"Sat Dec 12 12:49:17 +0000 2009",74299,18548,15027
"231","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",14,FALSE,"Sun Jan 05 07:20:27 +0000 2014",25445,7365,540
"232","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",28,FALSE,"Thu Oct 03 20:22:36 +0000 2013",53655,21096,18767
"233","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,"Sun Jul 12 20:27:14 +0000 2009",477,9,28
"234","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,FALSE,"Wed Jan 20 11:07:18 +0000 2016",2709,661,219
"235","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",28,FALSE,"Wed Oct 13 22:57:41 +0000 2010",18780,986,766
"236","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",173,FALSE,"Wed Jun 04 15:11:33 +0000 2014",80822,7128,7838
"237","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",22,FALSE,"Tue Mar 10 12:58:33 +0000 2015",33462,461,646
"238","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",12,FALSE,"Sun Nov 13 21:22:48 +0000 2016",41154,24964,24702
"239","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",58,FALSE,"Thu Feb 09 12:02:31 +0000 2012",23963,465,990
"240","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",41,FALSE,"Thu May 21 19:22:47 +0000 2009",18735,503,318
"241","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,FALSE,"Sun Oct 02 20:44:27 +0000 2016",35452,594,745
"242","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",64,FALSE,"Sat Dec 17 19:45:22 +0000 2011",36843,4528,4999
