"","Url_linked","Mentions","RT","No_ofwords","Hashtags","No_ofchars","Comma","Exclamations"
"194",TRUE,TRUE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"195",FALSE,TRUE,TRUE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,TRUE
"196",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"197",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"198",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"199",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"200",TRUE,FALSE,FALSE,"More than 18","Two or more","Between 91 and 135",TRUE,FALSE
"201",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"202",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",TRUE,FALSE
"203",TRUE,TRUE,TRUE,"More than 18","One","Between 91 and 135",FALSE,FALSE
"204",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"205",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"206",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"207",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"208",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"209",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"210",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"211",TRUE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"212",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"213",TRUE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"214",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"215",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"216",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",TRUE,FALSE
"217",TRUE,FALSE,FALSE,"More than 18","Two or more","Between 91 and 135",TRUE,FALSE
"218",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"219",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"220",TRUE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"221",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"222",TRUE,TRUE,FALSE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"223",TRUE,TRUE,TRUE,"Between 11 and 18","Two or more","90 or lesser",FALSE,FALSE
"224",TRUE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"225",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"226",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"227",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"228",TRUE,FALSE,FALSE,"More than 18","Two or more","More than 135",FALSE,FALSE
"229",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"230",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"231",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"232",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"233",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"234",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"235",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"236",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,TRUE
"237",TRUE,TRUE,FALSE,"Between 11 and 18","Two or more","Between 91 and 135",FALSE,FALSE
"238",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,TRUE
"239",TRUE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"240",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"241",FALSE,TRUE,TRUE,"Between 11 and 18","One","More than 135",FALSE,FALSE
"242",FALSE,TRUE,TRUE,"Less than or equal to 10","Zero","90 or lesser",FALSE,FALSE
"243",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"244",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"245",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"246",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"247",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"248",FALSE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"249",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,TRUE
"250",FALSE,FALSE,FALSE,"Less than or equal to 10","One","90 or lesser",FALSE,FALSE
"251",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"252",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
